open_time,close_time,O,H,L,C,V_Q,V_C
2017-08-17 12:00:00,2017-08-17 12:14:59.999,4261.48,4280.56,4261.48,4261.48,9333.6209622,2.189061
2017-08-17 12:15:00,2017-08-17 12:29:59.999,4261.48,4270.41,4261.32,4261.45,38891.13304617,9.119865
2017-08-17 12:30:00,2017-08-17 12:44:59.999,4280.0,4310.07,4267.99,4310.07,94080.91756819,21.923552
2017-08-17 12:45:00,2017-08-17 12:59:59.999,4310.07,4313.62,4291.37,4308.83,60060.46681648,13.948531
2017-08-17 13:00:00,2017-08-17 13:14:59.999,4308.83,4328.69,4304.31,4304.31,22006.53311123,5.101153
2017-08-17 13:15:00,2017-08-17 13:29:59.999,4320.0,4320.0,4312.14,4320.0,68857.75940919,15.947495
2017-08-17 13:30:00,2017-08-17 13:44:59.999,4320.0,4320.0,4291.37,4291.37,9307.69858079,2.155453
2017-08-17 13:45:00,2017-08-17 13:59:59.999,4297.04,4315.32,4297.04,4315.32,132.83246628,0.030815
2017-08-17 14:00:00,2017-08-17 14:14:59.999,4330.29,4330.29,4318.39,4330.0,282.39956631,0.065364
2017-08-17 14:15:00,2017-08-17 14:29:59.999,4309.37,4330.29,4309.37,4311.02,15127.3617667,3.500913
2017-08-17 14:30:00,2017-08-17 14:44:59.999,4328.65,4345.45,4319.83,4345.45,15138.7594909,3.494176
2017-08-17 14:45:00,2017-08-17 14:59:59.999,4345.45,4345.45,4324.35,4324.35,733.79184598,0.169238
2017-08-17 15:00:00,2017-08-17 15:14:59.999,4316.62,4316.62,4316.62,4316.62,6.65191142,0.001541
2017-08-17 15:15:00,2017-08-17 15:29:59.999,4291.38,4291.38,4291.38,4291.38,167.01192684,0.038918
2017-08-17 15:30:00,2017-08-17 15:44:59.999,4291.39,4300.0,4291.39,4300.0,3091.17587909,0.718901
2017-08-17 15:45:00,2017-08-17 15:59:59.999,4287.41,4349.99,4287.41,4349.99,15976.21858251,3.683889
2017-08-17 16:00:00,2017-08-17 16:14:59.999,4333.32,4377.85,4333.32,4360.71,3339.54418877,0.766417
2017-08-17 16:15:00,2017-08-17 16:29:59.999,4360.71,4360.71,4360.7,4360.7,330.72868491,0.075843
2017-08-17 16:30:00,2017-08-17 16:44:59.999,4360.7,4360.7,4360.0,4360.69,432.80644298,0.099262
2017-08-17 16:45:00,2017-08-17 16:59:59.999,4360.7,4360.7,4360.69,4360.69,136.42426897,0.031285
2017-08-17 17:00:00,2017-08-17 17:14:59.999,4360.0,4360.0,4360.0,4360.0,27.45056,0.006296
2017-08-17 17:15:00,2017-08-17 17:29:59.999,4360.0,4360.0,4360.0,4360.0,9978.7538,2.288705
2017-08-17 17:30:00,2017-08-17 17:44:59.999,4360.0,4445.78,4360.0,4436.51,36956.19061569,8.4108
2017-08-17 17:45:00,2017-08-17 17:59:59.999,4444.0,4444.0,4444.0,4444.0,256.960968,0.057822
