DATE,positive,negative,neutral,score
2019/12/11,0,0,1,0
2019/12/12,0.0295,0,0.9705,0.085
2019/12/13,0.0365,0.0385,0.925,0.0369
2019/12/16,0.159,0.055333333,0.785666667,0.308533333
2019/12/17,0.036666667,0.038,0.925333333,-0.0086
2019/12/19,0.0315,0,0.9685,0.045
2019/12/20,0.0385,0,0.9615,0.118933333
2019/12/22,0.03375,0.02975,0.9365,0.025825
2019/12/23,0.2345,0,0.7655,0.7169
2019/12/24,0.045333333,0,0.954666667,0.0086
2019/12/25,0.1935,0.048,0.7585,0.3595
2019/12/26,0,0.049,0.951,-0.1909
2019/12/27,0.103,0.057,0.84,0.138157143
2019/12/28,0,0,1,0
2019/12/30,0,0,1,0
2019/12/31,0.24,0,0.76,0.743
2020/1/1,0.138,0,0.862,0.4939
2020/1/2,0,0,1,0
2020/1/5,0,0,1,0
2020/1/7,0.109,0.096428571,0.794571429,0.124028571
2020/1/9,0.033,0.15375,0.81325,-0.036375
2020/1/10,0.158111111,0.011777778,0.830111111,0.3464
2020/1/12,0.321,0,0.679,0.6369
2020/1/13,0.068666667,0.090666667,0.840333333,-0.110533333
2020/1/14,0.099285714,0.025857143,0.874857143,0.136671429
2020/1/15,0.061857143,0.014857143,0.923285714,0.103957143
2020/1/16,0,0.095666667,0.904333333,-0.2735
2020/1/17,0,0,1,0
2020/1/18,0.121,0.233333333,0.645333333,-0.2258
2020/1/19,0.03525,0.098,0.86675,-0.1245
2020/1/22,0.135857143,0.049785714,0.814428571,0.165028571
2020/1/24,0.15425,0.11475,0.731,0.101025
2020/1/25,0,0,1,0
2020/1/27,0.207666667,0,0.792333333,0.459466667
2020/1/28,0.0345,0.2025,0.7625,-0.534
2020/1/29,0.05125,0.13,0.81875,-0.248975
2020/1/30,0.115,0.053,0.832,0.0472
2020/1/31,0.08075,0.11725,0.80225,-0.038425
2020/2/2,0.076153846,0.021076923,0.902769231,0.050507692
2020/2/3,0.116,0.017333333,0.866333333,0.278666667
2020/2/4,0.061333333,0.036,0.902666667,0.074666667
2020/2/5,0.12125,0,0.87875,0.136375
